Doador;CPF/CNPJ;Doador Originário;CPF/CNPJ Originário;Data;N° Recibo Eleitoral;Valor R$;Espécie do Recurso;N° Documento;Nome do Candidato;Número do Candidato;Candidatura;Partido;Unidade Eleitoral;Fonte do Recurso;20014AP1111;
Direção Estadual/Distrital;01.381.911/0001-79;;;03/10/2014;011110600000AP000011;R$ 5.000,00;Cheque;850090;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Fundo Partidário;20014AP1111;
Direção Estadual/Distrital;01.381.911/0001-79;;;08/09/2014;011110600000AP000008;R$ 498,00;Estimado;;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Fundo Partidário;20014AP1111;
Direção Estadual/Distrital;01.381.911/0001-79;;;04/09/2014;011110600000AP000007;R$ 566,50;Estimado;;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Fundo Partidário;20014AP1111;
Direção Estadual/Distrital;01.381.911/0001-79;;;21/08/2014;011110600000AP000006;R$ 600,00;Estimado;;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Outros Recursos;20014AP1111;
Direção Estadual/Distrital;01.381.911/0001-79;;;04/08/2014;011110600000AP000002;R$ 325,00;Estimado;;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Outros Recursos;20014AP1111;
Direção Nacional;00.887.169/0001-05;;;16/10/2014;011110600000AP000012;R$ 5.300,00;Depósito em espécie;000000;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Fundo Partidário;20014AP1111;
Direção Nacional;00.887.169/0001-05;;;18/07/2014;011110600000AP000001;R$ 200.000,00;Transferência eletrônica;000001;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Fundo Partidário;20014AP1111;
Direção Nacional;00.887.169/0001-05;;;02/10/2014;011110600000AP000010;R$ 50.000,00;Transferência eletrônica;0001;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Fundo Partidário;20014AP1111;
Direção Nacional;00.887.169/0001-05;;;19/09/2014;011110600000AP000009;R$ 30.000,00;Transferência eletrônica;0001;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Fundo Partidário;20014AP1111;
Direção Nacional;00.887.169/0001-05;;;14/08/2014;011110600000AP000004;R$ 50.000,00;Transferência eletrônica;0001;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Fundo Partidário;20014AP1111;
Direção Nacional;00.887.169/0001-05;;;07/08/2014;011110600000AP000003;R$ 50.000,00;Transferência eletrônica;0001;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Fundo Partidário;20014AP1111;
ELEIÇÕES 2014 ANTÔNIO WALDEZ GÓES DA SILVA GOVERNADOR;20.570.226/0001-35;;;15/08/2014;011110600000AP000005;R$ 2.500,00;Estimado;;EURICELIA MELO CARDOSO;1111;Deputado Federal;PP;AMAPÁ;Outros Recursos;20014AP1111;
